asin,category,rank,product_name,price,rating,review_count
B08JHCVHTY,electronics,1,blink plus plan with monthly auto-renewal,11.99,4.4,275499
B0DCH8VDXF,electronics,2,"Apple EarPods Headphones with USB-C Plug, Wired Ear Buds with Built-in Remote to Control Music, Phone Calls, and Volume",19,4.6,13159
B0DGHMNQ5Z,electronics,3,"Apple AirPods 4 Wireless Earbuds, Bluetooth Headphones, Personalized Spatial Audio, Sweat and Water Resistant, USB-C Charging Case, H2 Chip, Up to 30 Hours of Battery Life, Effortless Setup for iPhone",99,4.6,28982
B0GJTFXNRX,electronics,4,"Apple AirTag (2nd Generation): Tracker for Keychain, Wallet, and More; Locator with Sound; Simple One-Tap Setup with iPhone or iPad; Key Finder with up to 1.5X Precision Finding Range",29,4.6,3263
B0FQFB8FMG,electronics,5,"Apple AirPods Pro 3 Wireless Earbuds, Active Noise Cancellation, Live Translation, Heart Rate Sensing, Hearing Aid Feature, Bluetooth Headphones, Spatial Audio, High-Fidelity Sound, USB-C Charging",199.99,4.5,9105
B0DZ75TN5F,electronics,6,"Apple iPad 11-inch: A16 chip, 11-inch Model, Liquid Retina Display, 128GB, Wi-Fi 6, 12MP Front/12MP Back Camera, Touch ID, All-Day Battery Life — Blue",299,4.7,23275
B0CFPJYX7P,electronics,7,"Amazon Kindle Paperwhite 16GB (newest model) – 20% faster, with new 7"" glare-free display and weeks of battery life – Black",134.99,4.7,18063
B09B8V1LZ3,electronics,8,"Amazon Echo Dot (newest model) - Vibrant sounding speaker, Designed for Alexa+, Great for bedrooms, dining rooms and offices, Charcoal",39.99,4.7,191962
B0DXXYS4BJ,electronics,9,"Roku Streaming Stick HD — HD Streaming Device for TV with Roku Voice Remote, Free & Live TV",24.99,4.7,18872
B0FQF9ZX7P,electronics,10,"Apple Watch Series 11 [GPS 42mm] Smartwatch with Rose Gold Aluminum Case with Light Blush Sport Band - S/M. Sleep Score, Fitness Tracker, Health Monitoring, Always-On Display, Water Resistant",299,4.7,4489
B0CQMRKRV5,electronics,11,"Amazon Fire TV Stick HD, free and live TV, Alexa Voice Remote, smart home controls, HD streaming",34.99,4.7,65823
B08R6S1M1K,electronics,12,"Wall Charger, Surge Protector, QINLIANF 5 Outlet Extender with 4 USB Charging Ports, 3-Sided 1680J Power Strip Multi Plug Adapter Spaced for Home Travel Office",9.99,4.7,112788
B09PDLBFKY,electronics,13,"6 Ft Surge Protector Power Strip - 8 Widely Outlets with 4 USB Ports, 3 Side Outlet Extender with 6 Feet Extension Cord, Flat Plug, Wall Mount, Desk USB Charging Station, ETL,White",8.98,4.6,49120
B00EB4ADQW,electronics,14,"FUJIFILM Instax Mini Instant Film Twin Pack (White), 20 Photos",16.98,4.8,111566
B0DZ254SSR,electronics,15,"10Ft Extension Cord with Multiple Outlets, Flat Plug Surge Protector Power Strip 10 Ft Long Cord, 8 Outlets & 4 USB Ports (2 USB C), Desk Charging Station for Home Office, College Dorm Room Essentials",12.98,4.8,4952
B09Z6Q2MLC,electronics,16,"(Pack of 2) Replacement Remote Control Only for Roku TV, Compatible for TCL Roku/Hisense Roku/Onn Roku/Sharp Roku/Element Roku/Westinghouse Roku/Philips Roku Smart TVs (Not for Roku Stick and Box)",9.97,,
B0D9WVWXR1,electronics,17,"Oura Ring 4 Sizing Kit - Size Before You Buy The Oura Ring 4 - Unique Sizing, Not Standard US Ring Sizes - Receive Credit for Purchase",10,4.5,3470
B0CQF6T2K1,electronics,18,"Roku TV Remote Control (Official Manufacturer Product) - Simple Setup, & Pre-Set App Shortcuts - Replacement Remote Compatible with RokuTV Models ONLY (Not Roku Players)",9.99,4.6,10536
B0C2Z4L3S6,electronics,19,"Zip Ties Assorted Sizes(4”+6”+8”+12”), 400 Pack, Black Cable Ties, UV Resistant Wire Ties by ANOSON",5.99,4.6,16927
B0C8RR4WN3,electronics,20,"Amazon Kindle Paperwhite Signature Edition 32GB (newest model) – 20% faster with auto-adjusting front light, wireless charging, and weeks of battery life – Metallic Black",164.99,4.7,10887
B0F7Z4QZTT,electronics,21,"Amazon Fire TV Stick 4K Plus (newest model) with AI-powered Fire TV Search, Wi-Fi 6, stream hundreds of thousands of movies and shows, free & live TV, find shows faster with Alexa+",49.99,4.7,108908
B08MTBCXWX,electronics,22,"6Ft Power Strip Surge Protector - Yintar Extension Cord with 6 AC Outlets and 3 USB Ports for for Home, Office, Dorm Essentials, 1680 Joules, ETL Listed, (Black)",9.98,4.7,29155
B0BQPNMXQV,electronics,23,"JBL Vibe Beam - True Wireless JBL Deep Bass Sound Earbuds, Bluetooth 5.2, Water & Dust Resistant, Hands-Free Call with VoiceAware, Up to 32 Hours of Battery Life (Black)",29.95,4.3,37741
B09DT48V16,electronics,24,TAGRY Bluetooth Headphones True Wireless Earbuds 60H Playback LED Power Display Earphones with Wireless Charging Case IPX5 Waterproof in-Ear Ear buds with Mic for TV Smart Phone Laptop Computer Sports,24.66,4.4,85701
B0FHLPS8ZF,electronics,25,"Beats Solo 4 - Wireless On-Ear Bluetooth Headphones, Up to 50-Hour Battery Life, Ultra-Lightweight Comfort, Powerful and Balanced Sound, Apple & Android Compatible - Amazon Exclusive Metallic Pink",109.95,4.6,25820
B0CNVCQZG1,electronics,26,"Amazon Kindle 16 GB (newest model) - Lightest and most compact Kindle, now with faster page turns, and higher contrast ratio, for an enhanced reading experience - Matcha",109.99,4.6,15734
B0DC91H3JK,electronics,27,"Amazon Echo Show 11 (newest model), Vibrant Full-HD 11"" display with more viewing area and spatial audio, Designed for Alexa+, Graphite",169.99,4.4,4344
B0CRTYZG5C,electronics,28,"Soundcore P30i by Anker Noise Cancelling Earbuds, Strong and Smart Noise Cancelling, Powerful Bass, 45H Playtime, 2-in-1 Case and Phone Stand, IP54, Wireless Earbuds, Bluetooth 5.4 (Black)",24.99,4.4,32396
B01MTB55WH,electronics,29,"Anker Soundcore 2 Portable Bluetooth Speaker with Stereo Sound, Bluetooth 5, Bassup, IPX7 Waterproof, 24-Hour Playtime, Wireless, Speaker for Home, Outdoors, Travel",29.99,4.6,150249
B0D2HKCMBP,electronics,30,"SHOKZ New OpenRun Pro 2- Bone Conduction Headphones, Open-Ear Bluetooth Wireless Sport Earphones for Running, Workouts - Sweat Resistant, Secure Comfortable Fit -Deep Bass, Smart Mic, Reflective Strip",139.95,4.5,9585
B0BP9SNVH9,electronics,31,"Amazon Fire TV Stick 4K Max streaming device, with AI-powered Fire TV Search, supports Wi-Fi 6E, free & live TV without cable or satellite, find shows faster with Alexa+",59.99,4.6,76936
B0C3HCD34R,electronics,32,"Soundcore by Anker Q20i Hybrid Active Noise Cancelling Headphones, Wireless Over-Ear Bluetooth, 40H Long ANC Playtime, Hi-Res Audio, Big Bass, Customize via an App, Transparency Mode (Black)",44.99,4.6,62655
B07FW3GTXB,electronics,33,Alex Tech 10ft - 1/2 inch Cord Protector Wire Loom Tubing Cable Sleeve Split Sleeving For USB Cable Power Cord Audio Video Cable – Protect Cat From Chewing - Black,8.99,4.7,82679
B09FT58QQP,electronics,34,"TOZO A1 Wireless Earbuds Bluetooth 5.3 Light Weight in Ear IPX5 Waterproof Headphones 2 Mic for AI Calls, Immersive Premium Sound Bass Headset with Charging Case, 32 Presets EQ Customization via App",13.98,4.3,113380
B0DGQVYW2K,electronics,35,"Blink Video Doorbell – Head-to-toe HD view, two-year battery life, and simple setup. Required Sync Module not included – Add-On (Black)",29.99,4.4,10991
B0C8PR4W22,electronics,36,"Beats Studio Pro Premium Wireless Over-Ear Headphones- Up to 40-Hour Battery Life, Active Noise Cancelling, Great for Travel & Commuting, USB-C Lossless Audio, Apple & Android Compatible -Black",169.95,4.5,27516
B09SG2Q23M,electronics,37,"Anker Power Strip with 2100J Surge Protector, Outlet Extender, 5ft Extension Cord with Multiple Outlets, 12 AC, 2 USB A,1 USB C Port for 20W, Home Office, Dorm Room Essentials, TUV Listed",23.99,4.8,18723
B00SFSU53G,electronics,38,"Mounting Dream TV Wall Mount for 32-65 Inch Television,Mount with Swivel and Tilt, Full Motion Bracket with Articulating Dual Arms, Fits 16inch Studs, Max VESA 400X400 mm, 99lbs, MD2380",38.98,4.8,74533
B0FHWKYT89,electronics,39,"Wireless Earbuds, Bluetooth 5.4 Headphones Bass Stereo, Ear Buds with Noise Cancelling Mic, LED Display in Ear Earphones Clear Calls, IP7 Waterproof Bluetooth Earbuds for Phones/Sports/Laptop, White",21.98,4.5,56522
B0C6W3D4RM,electronics,40,"Amazon Fire TV Stick 4K Select (newest model), start streaming in 4K, AI-powered search, and free & live TV, find shows faster with Alexa+",39.99,4.2,9032
